Árvore de Busca em Largura a partir do vértice 1000
vértice 1: pai = 83, nível = 9
vértice 2: pai = 1, nível = 10
vértice 3: pai = 1, nível = 10
vértice 4: pai = 83, nível = 9
vértice 5: pai = 1, nível = 10
vértice 6: pai = 83, nível = 9
vértice 7: pai = 2868, nível = 8
vértice 8: pai = 9, nível = 9
vértice 9: pai = 119, nível = 8
vértice 10: pai = 9, nível = 9
vértice 11: pai = 3574, nível = 11
vértice 12: pai = 11, nível = 12
vértice 13: pai = 17, nível = 7
vértice 14: pai = 13, nível = 8
vértice 15: pai = 13, nível = 8
vértice 16: pai = 17, nível = 7
vértice 17: pai = 2569, nível = 6
vértice 18: pai = 13, nível = 8
vértice 19: pai = 13, nível = 8
vértice 20: pai = 2284, nível = 11
vértice 21: pai = 23, nível = 10
vértice 22: pai = 23, nível = 10
vértice 23: pai = 3856, nível = 9
vértice 24: pai = 8, nível = 10
vértice 25: pai = 23, nível = 10
vértice 26: pai = 663, nível = 13
vértice 27: pai = 26, nível = 14
vértice 28: pai = 23, nível = 10
vértice 29: pai = 23, nível = 10
vértice 30: pai = 23, nível = 10
vértice 31: pai = -1, nível = -1
vértice 32: pai = -1, nível = -1
vértice 33: pai = -1, nível = -1
vértice 34: pai = 22449, nível = 10
vértice 35: pai = -1, nível = -1
vértice 36: pai = -1, nível = -1
vértice 37: pai = -1, nível = -1
vértice 38: pai = -1, nível = -1
vértice 39: pai = 180, nível = 7
vértice 40: pai = 3109, nível = 9
vértice 41: pai = 40, nível = 10
vértice 42: pai = 43, nível = 11
vértice 43: pai = 3659, nível = 10
vértice 44: pai = 2978, nível = 9
vértice 45: pai = 228, nível = 9
vértice 46: pai = 44, nível = 10
vértice 47: pai = 44, nível = 10
vértice 48: pai = 234, nível = 7
vértice 49: pai = 6, nível = 10
vértice 50: pai = -1, nível = -1
vértice 51: pai = -1, nível = -1
vértice 52: pai = -1, nível = -1
vértice 53: pai = -1, nível = -1
vértice 54: pai = -1, nível = -1
vértice 55: pai = -1, nível = -1
vértice 56: pai = 57, nível = 7
vértice 57: pai = 2569, nível = 6
vértice 58: pai = 57, nível = 7
vértice 59: pai = 57, nível = 7
vértice 60: pai = 57, nível = 7
vértice 61: pai = 57, nível = 7
vértice 62: pai = 57, nível = 7
vértice 63: pai = 57, nível = 7
vértice 64: pai = 65, nível = 7
vértice 65: pai = 2569, nível = 6
vértice 66: pai = 65, nível = 7
vértice 67: pai = 65, nível = 7
vértice 68: pai = 40331, nível = 15
vértice 69: pai = -1, nível = -1
vértice 70: pai = -1, nível = -1
vértice 71: pai = 3693, nível = 7
vértice 72: pai = 71, nível = 8
vértice 73: pai = 83, nível = 9
vértice 74: pai = 83, nível = 9
vértice 75: pai = 83, nível = 9
vértice 76: pai = 83, nível = 9
vértice 77: pai = 83, nível = 9
vértice 78: pai = 83, nível = 9
vértice 79: pai = 83, nível = 9
vértice 80: pai = 83, nível = 9
vértice 81: pai = 83, nível = 9
vértice 82: pai = 83, nível = 9
vértice 83: pai = 235, nível = 8
vértice 84: pai = 83, nível = 9
vértice 85: pai = 23, nível = 10
vértice 86: pai = 23, nível = 10
vértice 87: pai = 23, nível = 10
vértice 88: pai = 23, nível = 10
vértice 89: pai = 23, nível = 10
vértice 90: pai = 3075, nível = 8
vértice 91: pai = -1, nível = -1
vértice 92: pai = -1, nível = -1
vértice 93: pai = -1, nível = -1
vértice 94: pai = -1, nível = -1
vértice 95: pai = 4573, nível = 9
vértice 96: pai = 97, nível = 9
vértice 97: pai = 13033, nível = 8
vértice 98: pai = -1, nível = -1
vértice 99: pai = 100, nível = 7
vértice 100: pai = 2569, nível = 6
vértice 101: pai = -1, nível = -1
vértice 102: pai = -1, nível = -1
vértice 103: pai = -1, nível = -1
vértice 104: pai = -1, nível = -1
vértice 105: pai = -1, nível = -1
vértice 106: pai = 29, nível = 11
vértice 107: pai = -1, nível = -1
vértice 108: pai = 109, nível = 11
vértice 109: pai = 23, nível = 10
vértice 110: pai = 111, nível = 8
vértice 111: pai = 3262, nível = 7
vértice 112: pai = -1, nível = -1
vértice 113: pai = 993, nível = 8
vértice 114: pai = 90, nível = 9
vértice 115: pai = 113, nível = 9
vértice 116: pai = 4573, nível = 9
vértice 117: pai = 119, nível = 8
vértice 118: pai = 119, nível = 8
vértice 119: pai = 57, nível = 7
vértice 120: pai = -1, nível = -1
vértice 121: pai = -1, nível = -1
vértice 122: pai = -1, nível = -1
vértice 123: pai = 117, nível = 9
vértice 124: pai = 117, nível = 9
vértice 125: pai = -1, nível = -1
vértice 126: pai = -1, nível = -1
vértice 127: pai = 119, nível = 8
vértice 128: pai = 548, nível = 11
vértice 129: pai = -1, nível = -1
vértice 130: pai = -1, nível = -1
vértice 131: pai = 10, nível = 10
vértice 132: pai = -1, nível = -1
vértice 133: pai = 3439, nível = 11
vértice 134: pai = 133, nível = 12
vértice 135: pai = -1, nível = -1
vértice 136: pai = 13, nível = 8
vértice 137: pai = 19, nível = 9
vértice 138: pai = -1, nível = -1
vértice 139: pai = 850, nível = 7
vértice 140: pai = 850, nível = 7
vértice 141: pai = 139, nível = 8
vértice 142: pai = -1, nível = -1
vértice 143: pai = 139, nível = 8
vértice 144: pai = -1, nível = -1
vértice 145: pai = 3706, nível = 11
vértice 146: pai = 2352, nível = 9
vértice 147: pai = 227, nível = 10
vértice 148: pai = 146, nível = 10
vértice 149: pai = 3051, nível = 9
vértice 150: pai = 4473, nível = 15
vértice 151: pai = -1, nível = -1
vértice 152: pai = 521, nível = 8
vértice 153: pai = 152, nível = 9
vértice 154: pai = -1, nível = -1
vértice 155: pai = 157, nível = 10
vértice 156: pai = 157, nível = 10
vértice 157: pai = 9637, nível = 9
vértice 158: pai = -1, nível = -1
vértice 159: pai = 57, nível = 7
vértice 160: pai = -1, nível = -1
vértice 161: pai = 159, nível = 8
vértice 162: pai = -1, nível = -1
vértice 163: pai = -1, nível = -1
vértice 164: pai = -1, nível = -1
vértice 165: pai = -1, nível = -1
vértice 166: pai = -1, nível = -1
vértice 167: pai = -1, nível = -1
vértice 168: pai = 43960, nível = 10
vértice 169: pai = -1, nível = -1
vértice 170: pai = -1, nível = -1
vértice 171: pai = -1, nível = -1
vértice 172: pai = -1, nível = -1
vértice 173: pai = -1, nível = -1
vértice 174: pai = -1, nível = -1
vértice 175: pai = -1, nível = -1
vértice 176: pai = -1, nível = -1
vértice 177: pai = 3425, nível = 12
vértice 178: pai = 177, nível = 13
vértice 179: pai = 180, nível = 7
vértice 180: pai = 2569, nível = 6
vértice 181: pai = 31625, nível = 10
vértice 182: pai = 796, nível = 10
vértice 183: pai = 3964, nível = 10
vértice 184: pai = -1, nível = -1
vértice 185: pai = -1, nível = -1
vértice 186: pai = -1, nível = -1
vértice 187: pai = -1, nível = -1
vértice 188: pai = -1, nível = -1
vértice 189: pai = -1, nível = -1
vértice 190: pai = 761, nível = 11
vértice 191: pai = -1, nível = -1
vértice 192: pai = 22436, nível = 10
vértice 193: pai = 123, nível = 10
vértice 194: pai = -1, nível = -1
vértice 195: pai = -1, nível = -1
vértice 196: pai = 2943, nível = 9
vértice 197: pai = 196, nível = 10
vértice 198: pai = -1, nível = -1
vértice 199: pai = -1, nível = -1
vértice 200: pai = -1, nível = -1
vértice 201: pai = -1, nível = -1
vértice 202: pai = -1, nível = -1
vértice 203: pai = 159, nível = 8
vértice 204: pai = 56597, nível = 14
vértice 205: pai = -1, nível = -1
vértice 206: pai = 207, nível = 14
vértice 207: pai = 767, nível = 13
vértice 208: pai = 207, nível = 14
vértice 209: pai = 234, nível = 7
vértice 210: pai = 209, nível = 8
vértice 211: pai = 209, nível = 8
vértice 212: pai = 233, nível = 8
vértice 213: pai = 13, nível = 8
vértice 214: pai = 213, nível = 9
vértice 215: pai = 234, nível = 7
vértice 216: pai = 215, nível = 8
vértice 217: pai = -1, nível = -1
vértice 218: pai = 48, nível = 8
vértice 219: pai = 218, nível = 9
vértice 220: pai = -1, nível = -1
vértice 221: pai = 48, nível = 8
vértice 222: pai = 221, nível = 9
vértice 223: pai = -1, nível = -1
vértice 224: pai = -1, nível = -1
vértice 225: pai = 2041, nível = 16
vértice 226: pai = 227, nível = 10
vértice 227: pai = 152, nível = 9
vértice 228: pai = 11386, nível = 8
vértice 229: pai = -1, nível = -1
vértice 230: pai = 234, nível = 7
vértice 231: pai = 230, nível = 8
vértice 232: pai = 234, nível = 7
vértice 233: pai = 234, nível = 7
vértice 234: pai = 35232, nível = 6
vértice 235: pai = 234, nível = 7
vértice 236: pai = 152, nível = 9
vértice 237: pai = 152, nível = 9
vértice 238: pai = 152, nível = 9
vértice 239: pai = -1, nível = -1
vértice 240: pai = -1, nível = -1
vértice 241: pai = -1, nível = -1
vértice 242: pai = 157, nível = 10
vértice 243: pai = 157, nível = 10
vértice 244: pai = 9637, nível = 9
vértice 245: pai = 57, nível = 7
vértice 246: pai = 247, nível = 12
vértice 247: pai = 260, nível = 11
vértice 248: pai = -1, nível = -1
vértice 249: pai = -1, nível = -1
vértice 250: pai = 21248, nível = 8
vértice 251: pai = -1, nível = -1
vértice 252: pai = -1, nível = -1
vértice 253: pai = -1, nível = -1
vértice 254: pai = -1, nível = -1
vértice 255: pai = 2781, nível = 13
vértice 256: pai = 255, nível = 14
vértice 257: pai = -1, nível = -1
vértice 258: pai = -1, nível = -1
vértice 259: pai = -1, nível = -1
vértice 260: pai = 23946, nível = 10
vértice 261: pai = -1, nível = -1
vértice 262: pai = 35680, nível = 4
vértice 263: pai = -1, nível = -1
vértice 264: pai = -1, nível = -1
vértice 265: pai = -1, nível = -1
vértice 266: pai = -1, nível = -1
vértice 267: pai = 268, nível = 10
vértice 268: pai = 203, nível = 9
vértice 269: pai = -1, nível = -1
vértice 270: pai = -1, nível = -1
vértice 271: pai = -1, nível = -1
vértice 272: pai = 45847, nível = 12
vértice 273: pai = -1, nível = -1
vértice 274: pai = -1, nível = -1
vértice 275: pai = -1, nível = -1
vértice 276: pai = -1, nível = -1
vértice 277: pai = 278, nível = 10
vértice 278: pai = 16813, nível = 9
vértice 279: pai = 16633, nível = 12
vértice 280: pai = -1, nível = -1
vértice 281: pai = 14817, nível = 10
vértice 282: pai = 9821, nível = 9
vértice 283: pai = 282, nível = 10
vértice 284: pai = 282, nível = 10
vértice 285: pai = 16519, nível = 10
vértice 286: pai = -1, nível = -1
vértice 287: pai = -1, nível = -1
vértice 288: pai = -1, nível = -1
vértice 289: pai = -1, nível = -1
vértice 290: pai = -1, nível = -1
vértice 291: pai = -1, nível = -1
vértice 292: pai = -1, nível = -1
vértice 293: pai = -1, nível = -1
vértice 294: pai = -1, nível = -1
vértice 295: pai = 40160, nível = 18
vértice 296: pai = 295, nível = 19
vértice 297: pai = 296, nível = 20
vértice 298: pai = 20760, nível = 12
vértice 299: pai = 278, nível = 10
vértice 300: pai = -1, nível = -1
vértice 301: pai = -1, nível = -1
vértice 302: pai = -1, nível = -1
vértice 303: pai = -1, nível = -1
vértice 304: pai = -1, nível = -1
vértice 305: pai = 704, nível = 12
vértice 306: pai = 305, nível = 13
vértice 307: pai = 305, nível = 13
vértice 308: pai = -1, nível = -1
vértice 309: pai = -1, nível = -1
vértice 310: pai = -1, nível = -1
vértice 311: pai = -1, nível = -1
vértice 312: pai = -1, nível = -1
vértice 313: pai = -1, nível = -1
vértice 314: pai = -1, nível = -1
vértice 315: pai = -1, nível = -1
vértice 316: pai = -1, nível = -1
vértice 317: pai = -1, nível = -1
vértice 318: pai = -1, nível = -1
vértice 319: pai = -1, nível = -1
vértice 320: pai = -1, nível = -1
vértice 321: pai = -1, nível = -1
vértice 322: pai = -1, nível = -1
vértice 323: pai = -1, nível = -1
vértice 324: pai = -1, nível = -1
vértice 325: pai = -1, nível = -1
vértice 326: pai = -1, nível = -1
vértice 327: pai = -1, nível = -1
vértice 328: pai = -1, nível = -1
vértice 329: pai = -1, nível = -1
vértice 330: pai = -1, nível = -1
vértice 331: pai = -1, nível = -1
vértice 332: pai = -1, nível = -1
vértice 333: pai = -1, nível = -1
vértice 334: pai = -1, nível = -1
vértice 335: pai = -1, nível = -1
vértice 336: pai = -1, nível = -1
vértice 337: pai = -1, nível = -1
vértice 338: pai = -1, nível = -1
vértice 339: pai = -1, nível = -1
vértice 340: pai = -1, nível = -1
vértice 341: pai = -1, nível = -1
vértice 342: pai = -1, nível = -1
vértice 343: pai = -1, nível = -1
vértice 344: pai = -1, nível = -1
vértice 345: pai = -1, nível = -1
vértice 346: pai = 350, nível = 11
vértice 347: pai = 350, nível = 11
vértice 348: pai = 350, nível = 11
vértice 349: pai = 350, nível = 11
vértice 350: pai = 35261, nível = 10
vértice 351: pai = 350, nível = 11
vértice 352: pai = -1, nível = -1
vértice 353: pai = -1, nível = -1
vértice 354: pai = -1, nível = -1
vértice 355: pai = -1, nível = -1
vértice 356: pai = 358, nível = 11
vértice 357: pai = 358, nível = 11
vértice 358: pai = 4370, nível = 10
vértice 359: pai = 358, nível = 11
vértice 360: pai = 413, nível = 16
vértice 361: pai = 413, nível = 16
vértice 362: pai = -1, nível = -1
vértice 363: pai = -1, nível = -1
vértice 364: pai = -1, nível = -1
vértice 365: pai = 70717, nível = 10
vértice 366: pai = 365, nível = 11
vértice 367: pai = -1, nível = -1
vértice 368: pai = -1, nível = -1
vértice 369: pai = -1, nível = -1
vértice 370: pai = -1, nível = -1
vértice 371: pai = -1, nível = -1
vértice 372: pai = -1, nível = -1
vértice 373: pai = -1, nível = -1
vértice 374: pai = -1, nível = -1
vértice 375: pai = -1, nível = -1
vértice 376: pai = -1, nível = -1
vértice 377: pai = -1, nível = -1
vértice 378: pai = -1, nível = -1
vértice 379: pai = -1, nível = -1
vértice 380: pai = -1, nível = -1
vértice 381: pai = -1, nível = -1
vértice 382: pai = -1, nível = -1
vértice 383: pai = -1, nível = -1
vértice 384: pai = -1, nível = -1
vértice 385: pai = -1, nível = -1
vértice 386: pai = 51833, nível = 9
vértice 387: pai = 24591, nível = 10
vértice 388: pai = -1, nível = -1
vértice 389: pai = -1, nível = -1
vértice 390: pai = -1, nível = -1
vértice 391: pai = -1, nível = -1
vértice 392: pai = -1, nível = -1
vértice 393: pai = -1, nível = -1
vértice 394: pai = -1, nível = -1
vértice 395: pai = -1, nível = -1
vértice 396: pai = -1, nível = -1
vértice 397: pai = -1, nível = -1
vértice 398: pai = -1, nível = -1
vértice 399: pai = -1, nível = -1
vértice 400: pai = -1, nível = -1
vértice 401: pai = -1, nível = -1
vértice 402: pai = -1, nível = -1
vértice 403: pai = -1, nível = -1
vértice 404: pai = -1, nível = -1
vértice 405: pai = -1, nível = -1
vértice 406: pai = -1, nível = -1
vértice 407: pai = -1, nível = -1
vértice 408: pai = -1, nível = -1
